Date;Url;Nombre requ̻tes;Taille(kb);Taille du dom;GES;Eau;ecoIndex;Note
29/10/2024 11:13:40;"http://braxters/Parameter";11;16;74;1.17;1.76;91.35;A
29/10/2024 11:12:57;"http://braxters/Machine";15;960;87;1.29;1.94;85.36;A
29/10/2024 11:11:50;"http://braxters/Exercice";14;937;83;1.29;1.93;85.73;A
29/10/2024 11:10:48;"http://braxters/Program";13;1266;59;1.28;1.92;85.85;A
29/10/2024 11:09:44;"http://braxters/Dashboard";10;14;40;1.11;1.67;94.27;A
29/10/2024 11:05:25;"http://braxters/Login";8;10;23;1.09;1.64;95.46;A
29/10/2024 11:04:29;"http://braxters/Contact";15;18;49;1.14;1.71;93.06;A
29/10/2024 11:03:46;"http://braxters/Description/program/1";12;739;42;1.20;1.80;90.06;A
29/10/2024 11:02:58;"http://braxters/Description";15;1259;64;1.30;1.94;85.18;A
29/10/2024 11:01:55;"http://braxters/";16;1729;43;1.30;1.96;84.75;A
